Frontend,Mutation,Alignment,Adversarial,Accuracy
wavelet,res_adain,none,none,68.63
wavelet,adain,none,none,67.79
wavelet,res_adain,none,cdan,60.28
wavelet,adain,none,cdan,59.67
cnn,res_adain,none,cdan,54.95
cnn,adain,none,none,54.11
cnn,res_adain,none,none,53.85
wavelet,res_adain,none,dann,53.44
cnn,res_adain,none,dann,51.19
cnn,adain,none,cdan,49.88
cnn,adain,none,dann,49.43
wavelet,adain,none,dann,47.31
wavelet,adain,supcon,cdan,0.0
wavelet,res_adain,supcon,dann,0.0
wavelet,res_adain,supcon,none,0.0
cnn,adain,supcon,none,0.0
wavelet,adain,supcon,none,0.0
wavelet,adain,supcon,dann,0.0
cnn,adain,supcon,dann,0.0
cnn,res_adain,supcon,cdan,0.0
cnn,res_adain,supcon,dann,0.0
cnn,res_adain,supcon,none,0.0
cnn,adain,supcon,cdan,0.0
wavelet,res_adain,supcon,cdan,0.0
